state,status
AL,No
DE,Yes
AR,No
ME,No
ID,No
LA,No
MN,No
NH,No
SD,No
PA,No
NM,No
WV,No
OK,Yes - partial
HI,N/A
GA,Yes - partial
IA,Yes - partial
IN,Yes
KY,Yes - partial
KS,Yes - partial
AK,Yes - partial
UT,Yes
AZ,Yes
CA,Yes
CO,Yes
CT,Yes
FL,Yes - partial
IL,Yes
MA,Yes
MD,Yes
MI,Yes
MO,Yes
MS,Yes - partial
MT,Yes
NC,Yes
ND,Yes - partial
NE,Yes
NJ,Yes
NV,Yes - partial
NY,Yes - partial
OH,Yes
OR,Yes
RI,Yes
SC,Yes
TN,Yes - partial
TX,Yes
VA,Yes
VT,Yes
WA,Yes
WI,Yes
WY,Yes - partial
